"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Validate navigation to multiple options","13366","filterBy","Training web Test Suite","2026-09-11","passed","2026-09-11","co.com.training.web.tests.FilteringOptionsTests","Filtering Options Test","co.com.training.web.tests.FilteringOptionsTests","filterBy"
"Validate navigation to multiple options","13099","filterBy","Training web Test Suite","2026-09-11","passed","2026-09-11","co.com.training.web.tests.FilteringOptionsTests","Filtering Options Test","co.com.training.web.tests.FilteringOptionsTests","filterBy"
"","11836","failedUserNameRegistration","Training web Test Suite","2026-09-11","passed","2026-09-11","co.com.training.web.tests.RegistrationLoginTests","My Registration Test","co.com.training.web.tests.RegistrationLoginTests","failedUserNameRegistration"
"","11833","failedPasswordRegistration","Training web Test Suite","2026-09-11","passed","2026-09-11","co.com.training.web.tests.RegistrationLoginTests","My Registration Test","co.com.training.web.tests.RegistrationLoginTests","failedPasswordRegistration"
"","11121","navigateToTableAndSearchBy","Training web Test Suite","2026-09-11","passed","2026-09-11","co.com.training.web.tests.FilteringOptionsTests","Filtering Options Test","co.com.training.web.tests.FilteringOptionsTests","navigateToTableAndSearchBy"
