"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Validate navigation to multiple options","11471","filterBy","Training web Test Suite","Wed Sep 10 03:39:23 UTC 2025","passed","Wed Sep 10 03:39:34 UTC 2025","co.com.training.web.tests.FilteringOptionsTests","Filtering Options Test","co.com.training.web.tests.FilteringOptionsTests","filterBy"
"","11557","failedUserNameRegistration","Training web Test Suite","Wed Sep 10 03:40:11 UTC 2025","passed","Wed Sep 10 03:40:22 UTC 2025","co.com.training.web.tests.RegistrationLoginTests","My Registration Test","co.com.training.web.tests.RegistrationLoginTests","failedUserNameRegistration"
"Validate navigation to multiple options","10801","filterBy","Training web Test Suite","Wed Sep 10 03:39:35 UTC 2025","passed","Wed Sep 10 03:39:46 UTC 2025","co.com.training.web.tests.FilteringOptionsTests","Filtering Options Test","co.com.training.web.tests.FilteringOptionsTests","filterBy"
"","11928","failedPasswordRegistration","Training web Test Suite","Wed Sep 10 03:39:58 UTC 2025","passed","Wed Sep 10 03:40:10 UTC 2025","co.com.training.web.tests.RegistrationLoginTests","My Registration Test","co.com.training.web.tests.RegistrationLoginTests","failedPasswordRegistration"
"","11423","navigateToTableAndSearchBy","Training web Test Suite","Wed Sep 10 03:39:46 UTC 2025","passed","Wed Sep 10 03:39:58 UTC 2025","co.com.training.web.tests.FilteringOptionsTests","Filtering Options Test","co.com.training.web.tests.FilteringOptionsTests","navigateToTableAndSearchBy"
