"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","12913","failedPasswordRegistration","Training web Test Suite","Tue Nov 26 20:54:24 GMT 2024","passed","Tue Nov 26 20:54:37 GMT 2024","co.com.training.web.tests.RegistrationLoginTests","My Registration Test","co.com.training.web.tests.RegistrationLoginTests","failedPasswordRegistration"
"","12460","filterBy","Training web Test Suite","Tue Nov 26 20:53:54 GMT 2024","passed","Tue Nov 26 20:54:06 GMT 2024","co.com.training.web.tests.FilteringOptionsTests","Filtering Options Test","co.com.training.web.tests.FilteringOptionsTests","filterBy"
"","12008","filterBy","Training web Test Suite","Tue Nov 26 20:53:39 GMT 2024","passed","Tue Nov 26 20:53:51 GMT 2024","co.com.training.web.tests.FilteringOptionsTests","Filtering Options Test","co.com.training.web.tests.FilteringOptionsTests","filterBy"
"","10769","navigateToTableAndSearchBy","Training web Test Suite (0)","Tue Nov 26 20:54:51 GMT 2024","passed","Tue Nov 26 20:55:02 GMT 2024","co.com.training.web.tests.FilteringOptionsTests","My First Test","co.com.training.web.tests.FilteringOptionsTests","navigateToTableAndSearchBy"
"","11861","failedUserNameRegistration","Training web Test Suite","Tue Nov 26 20:54:38 GMT 2024","passed","Tue Nov 26 20:54:50 GMT 2024","co.com.training.web.tests.RegistrationLoginTests","My Registration Test","co.com.training.web.tests.RegistrationLoginTests","failedUserNameRegistration"
"","12012","navigateToTableAndSearchBy","Training web Test Suite","Tue Nov 26 20:54:09 GMT 2024","passed","Tue Nov 26 20:54:21 GMT 2024","co.com.training.web.tests.FilteringOptionsTests","Filtering Options Test","co.com.training.web.tests.FilteringOptionsTests","navigateToTableAndSearchBy"
