"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Validate navigation to multiple options","12102","filterBy","Training web Test Suite","2026-09-11","passed","2026-09-11","co.com.training.web.tests.FilteringOptionsTests","Filtering Options Test","co.com.training.web.tests.FilteringOptionsTests","filterBy"
"","10883","navigateToTableAndSearchBy","Training web Test Suite","2026-09-11","passed","2026-09-11","co.com.training.web.tests.FilteringOptionsTests","Filtering Options Test","co.com.training.web.tests.FilteringOptionsTests","navigateToTableAndSearchBy"
"","12321","failedPasswordRegistration","Training web Test Suite","2026-09-11","passed","2026-09-11","co.com.training.web.tests.RegistrationLoginTests","My Registration Test","co.com.training.web.tests.RegistrationLoginTests","failedPasswordRegistration"
"","11705","failedUserNameRegistration","Training web Test Suite","2026-09-11","passed","2026-09-11","co.com.training.web.tests.RegistrationLoginTests","My Registration Test","co.com.training.web.tests.RegistrationLoginTests","failedUserNameRegistration"
"Validate navigation to multiple options","10873","filterBy","Training web Test Suite","2026-09-11","passed","2026-09-11","co.com.training.web.tests.FilteringOptionsTests","Filtering Options Test","co.com.training.web.tests.FilteringOptionsTests","filterBy"
