"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","11872","failedUserNameRegistration","Training web Test Suite","Tue Nov 26 22:25:28 GMT 2024","passed","Tue Nov 26 22:25:40 GMT 2024","co.com.training.web.tests.RegistrationLoginTests","My Registration Test","co.com.training.web.tests.RegistrationLoginTests","failedUserNameRegistration"
"","13905","navigateToTableAndSearchBy","Training web Test Suite","Tue Nov 26 22:24:59 GMT 2024","passed","Tue Nov 26 22:25:12 GMT 2024","co.com.training.web.tests.FilteringOptionsTests","Filtering Options Test","co.com.training.web.tests.FilteringOptionsTests","navigateToTableAndSearchBy"
"","10801","navigateToTableAndSearchBy","Training web Test Suite (0)","Tue Nov 26 22:25:41 GMT 2024","passed","Tue Nov 26 22:25:52 GMT 2024","co.com.training.web.tests.FilteringOptionsTests","My First Test","co.com.training.web.tests.FilteringOptionsTests","navigateToTableAndSearchBy"
"","10893","filterBy","Training web Test Suite","Tue Nov 26 22:24:33 GMT 2024","passed","Tue Nov 26 22:24:44 GMT 2024","co.com.training.web.tests.FilteringOptionsTests","Filtering Options Test","co.com.training.web.tests.FilteringOptionsTests","filterBy"
"","11907","failedPasswordRegistration","Training web Test Suite","Tue Nov 26 22:25:14 GMT 2024","passed","Tue Nov 26 22:25:26 GMT 2024","co.com.training.web.tests.RegistrationLoginTests","My Registration Test","co.com.training.web.tests.RegistrationLoginTests","failedPasswordRegistration"
"","10646","filterBy","Training web Test Suite","Tue Nov 26 22:24:46 GMT 2024","passed","Tue Nov 26 22:24:57 GMT 2024","co.com.training.web.tests.FilteringOptionsTests","Filtering Options Test","co.com.training.web.tests.FilteringOptionsTests","filterBy"
