"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","11616","failedUserNameRegistration","Training web Test Suite","Wed Apr 01 22:25:07 UTC 2026","passed","Wed Apr 01 22:25:19 UTC 2026","co.com.training.web.tests.RegistrationLoginTests","My Registration Test","co.com.training.web.tests.RegistrationLoginTests","failedUserNameRegistration"
"","12298","failedPasswordRegistration","Training web Test Suite","Wed Apr 01 22:24:54 UTC 2026","passed","Wed Apr 01 22:25:07 UTC 2026","co.com.training.web.tests.RegistrationLoginTests","My Registration Test","co.com.training.web.tests.RegistrationLoginTests","failedPasswordRegistration"
"Validate navigation to multiple options","11742","filterBy","Training web Test Suite","Wed Apr 01 22:24:20 UTC 2026","passed","Wed Apr 01 22:24:32 UTC 2026","co.com.training.web.tests.FilteringOptionsTests","Filtering Options Test","co.com.training.web.tests.FilteringOptionsTests","filterBy"
"","11108","navigateToTableAndSearchBy","Training web Test Suite","Wed Apr 01 22:24:43 UTC 2026","passed","Wed Apr 01 22:24:54 UTC 2026","co.com.training.web.tests.FilteringOptionsTests","Filtering Options Test","co.com.training.web.tests.FilteringOptionsTests","navigateToTableAndSearchBy"
"Validate navigation to multiple options","10701","filterBy","Training web Test Suite","Wed Apr 01 22:24:32 UTC 2026","passed","Wed Apr 01 22:24:43 UTC 2026","co.com.training.web.tests.FilteringOptionsTests","Filtering Options Test","co.com.training.web.tests.FilteringOptionsTests","filterBy"
