"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Sep 06 22:51:38 GMT 2024","Fri Sep 06 22:51:38 GMT 2024","0","Training web Test Suite","My Registration Test","co.com.training.web.tests.RegistrationLoginTests","co.com.training.web.tests.RegistrationLoginTests","beforeMethod","beforeMethod",""
"broken","Fri Sep 06 22:51:37 GMT 2024","Fri Sep 06 22:51:37 GMT 2024","1","Training web Test Suite","Filtering Options Test","co.com.training.web.tests.FilteringOptionsTests","co.com.training.web.tests.FilteringOptionsTests","beforeMethod","beforeMethod",""
"skipped","Fri Sep 06 22:51:37 GMT 2024","Fri Sep 06 22:51:37 GMT 2024","0","Training web Test Suite","Filtering Options Test","co.com.training.web.tests.FilteringOptionsTests","co.com.training.web.tests.FilteringOptionsTests","navigateToTableAndSearchBy","navigateToTableAndSearchBy",""
"skipped","Fri Sep 06 22:51:38 GMT 2024","Fri Sep 06 22:51:38 GMT 2024","1","Training web Test Suite","My Registration Test","co.com.training.web.tests.RegistrationLoginTests","co.com.training.web.tests.RegistrationLoginTests","failedUserNameRegistration","failedUserNameRegistration",""
"broken","Fri Sep 06 22:51:37 GMT 2024","Fri Sep 06 22:51:37 GMT 2024","1","Training web Test Suite","Filtering Options Test","co.com.training.web.tests.FilteringOptionsTests","co.com.training.web.tests.FilteringOptionsTests","afterMethod","afterMethod",""
"skipped","Fri Sep 06 22:51:38 GMT 2024","Fri Sep 06 22:51:38 GMT 2024","0","Training web Test Suite","My Registration Test","co.com.training.web.tests.RegistrationLoginTests","co.com.training.web.tests.RegistrationLoginTests","failedPasswordRegistration","failedPasswordRegistration",""
"broken","Fri Sep 06 22:51:38 GMT 2024","Fri Sep 06 22:51:38 GMT 2024","1","Training web Test Suite","My Registration Test","co.com.training.web.tests.RegistrationLoginTests","co.com.training.web.tests.RegistrationLoginTests","afterMethod","afterMethod",""
"skipped","Fri Sep 06 22:51:37 GMT 2024","Fri Sep 06 22:51:37 GMT 2024","0","Training web Test Suite","Filtering Options Test","co.com.training.web.tests.FilteringOptionsTests","co.com.training.web.tests.FilteringOptionsTests","filterBy","filterBy",""
