"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Validate navigation to multiple options","10672","filterBy","Training web Test Suite","Tue Sep 02 21:36:50 UTC 2025","passed","Tue Sep 02 21:37:01 UTC 2025","co.com.training.web.tests.FilteringOptionsTests","Filtering Options Test","co.com.training.web.tests.FilteringOptionsTests","filterBy"
"","12960","failedPasswordRegistration","Training web Test Suite","Tue Sep 02 21:37:12 UTC 2025","passed","Tue Sep 02 21:37:25 UTC 2025","co.com.training.web.tests.RegistrationLoginTests","My Registration Test","co.com.training.web.tests.RegistrationLoginTests","failedPasswordRegistration"
"","10612","navigateToTableAndSearchBy","Training web Test Suite","Tue Sep 02 21:37:01 UTC 2025","passed","Tue Sep 02 21:37:12 UTC 2025","co.com.training.web.tests.FilteringOptionsTests","Filtering Options Test","co.com.training.web.tests.FilteringOptionsTests","navigateToTableAndSearchBy"
"Validate navigation to multiple options","11287","filterBy","Training web Test Suite","Tue Sep 02 21:36:38 UTC 2025","passed","Tue Sep 02 21:36:50 UTC 2025","co.com.training.web.tests.FilteringOptionsTests","Filtering Options Test","co.com.training.web.tests.FilteringOptionsTests","filterBy"
"","10810","navigateToTableAndSearchBy","Training web Test Suite (0)","Tue Sep 02 21:37:39 UTC 2025","passed","Tue Sep 02 21:37:49 UTC 2025","co.com.training.web.tests.FilteringOptionsTests","My First Test","co.com.training.web.tests.FilteringOptionsTests","navigateToTableAndSearchBy"
"","11643","failedUserNameRegistration","Training web Test Suite","Tue Sep 02 21:37:25 UTC 2025","passed","Tue Sep 02 21:37:37 UTC 2025","co.com.training.web.tests.RegistrationLoginTests","My Registration Test","co.com.training.web.tests.RegistrationLoginTests","failedUserNameRegistration"
