"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","10597","filterBy","Training web Test Suite","Wed Nov 27 16:55:56 GMT 2024","passed","Wed Nov 27 16:56:06 GMT 2024","co.com.training.web.tests.FilteringOptionsTests","Filtering Options Test","co.com.training.web.tests.FilteringOptionsTests","filterBy"
"","10960","navigateToTableAndSearchBy","Training web Test Suite","Wed Nov 27 16:56:08 GMT 2024","passed","Wed Nov 27 16:56:19 GMT 2024","co.com.training.web.tests.FilteringOptionsTests","Filtering Options Test","co.com.training.web.tests.FilteringOptionsTests","navigateToTableAndSearchBy"
"","11879","failedPasswordRegistration","Training web Test Suite","Wed Nov 27 16:56:20 GMT 2024","passed","Wed Nov 27 16:56:32 GMT 2024","co.com.training.web.tests.RegistrationLoginTests","My Registration Test","co.com.training.web.tests.RegistrationLoginTests","failedPasswordRegistration"
"","10862","navigateToTableAndSearchBy","Training web Test Suite (0)","Wed Nov 27 16:56:47 GMT 2024","passed","Wed Nov 27 16:56:58 GMT 2024","co.com.training.web.tests.FilteringOptionsTests","My First Test","co.com.training.web.tests.FilteringOptionsTests","navigateToTableAndSearchBy"
"","11830","failedUserNameRegistration","Training web Test Suite","Wed Nov 27 16:56:34 GMT 2024","passed","Wed Nov 27 16:56:45 GMT 2024","co.com.training.web.tests.RegistrationLoginTests","My Registration Test","co.com.training.web.tests.RegistrationLoginTests","failedUserNameRegistration"
"","10794","filterBy","Training web Test Suite","Wed Nov 27 16:55:43 GMT 2024","passed","Wed Nov 27 16:55:54 GMT 2024","co.com.training.web.tests.FilteringOptionsTests","Filtering Options Test","co.com.training.web.tests.FilteringOptionsTests","filterBy"
