"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Sep 09 19:16:18 GMT 2024","Mon Sep 09 19:16:29 GMT 2024","10790","Training web Test Suite","Filtering Options Test","co.com.training.web.tests.FilteringOptionsTests","co.com.training.web.tests.FilteringOptionsTests","navigateToTableAndSearchBy","navigateToTableAndSearchBy",""
"passed","Mon Sep 09 19:16:31 GMT 2024","Mon Sep 09 19:16:42 GMT 2024","11920","Training web Test Suite","My Registration Test","co.com.training.web.tests.RegistrationLoginTests","co.com.training.web.tests.RegistrationLoginTests","failedPasswordRegistration","failedPasswordRegistration",""
"passed","Mon Sep 09 19:15:51 GMT 2024","Mon Sep 09 19:16:04 GMT 2024","12922","Training web Test Suite","Filtering Options Test","co.com.training.web.tests.FilteringOptionsTests","co.com.training.web.tests.FilteringOptionsTests","filterBy","filterBy",""
"passed","Mon Sep 09 19:16:05 GMT 2024","Mon Sep 09 19:16:16 GMT 2024","10925","Training web Test Suite","Filtering Options Test","co.com.training.web.tests.FilteringOptionsTests","co.com.training.web.tests.FilteringOptionsTests","filterBy","filterBy",""
"passed","Mon Sep 09 19:16:45 GMT 2024","Mon Sep 09 19:16:57 GMT 2024","11894","Training web Test Suite","My Registration Test","co.com.training.web.tests.RegistrationLoginTests","co.com.training.web.tests.RegistrationLoginTests","failedUserNameRegistration","failedUserNameRegistration",""
