"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","12062","failedPasswordRegistration","Training web Test Suite","2026-09-10","passed","2026-09-10","co.com.training.web.tests.RegistrationLoginTests","My Registration Test","co.com.training.web.tests.RegistrationLoginTests","failedPasswordRegistration"
"Validate navigation to multiple options","12696","filterBy","Training web Test Suite","2026-09-10","passed","2026-09-10","co.com.training.web.tests.FilteringOptionsTests","Filtering Options Test","co.com.training.web.tests.FilteringOptionsTests","filterBy"
"","11070","navigateToTableAndSearchBy","Training web Test Suite","2026-09-10","passed","2026-09-10","co.com.training.web.tests.FilteringOptionsTests","Filtering Options Test","co.com.training.web.tests.FilteringOptionsTests","navigateToTableAndSearchBy"
"Validate navigation to multiple options","13020","filterBy","Training web Test Suite","2026-09-10","passed","2026-09-10","co.com.training.web.tests.FilteringOptionsTests","Filtering Options Test","co.com.training.web.tests.FilteringOptionsTests","filterBy"
"","11705","failedUserNameRegistration","Training web Test Suite","2026-09-10","passed","2026-09-10","co.com.training.web.tests.RegistrationLoginTests","My Registration Test","co.com.training.web.tests.RegistrationLoginTests","failedUserNameRegistration"
