"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Sep 09 19:49:49 GMT 2024","Mon Sep 09 19:50:00 GMT 2024","10562","Training web Test Suite","Filtering Options Test","co.com.training.web.tests.FilteringOptionsTests","co.com.training.web.tests.FilteringOptionsTests","filterBy","filterBy",""
"passed","Mon Sep 09 19:50:14 GMT 2024","Mon Sep 09 19:50:26 GMT 2024","11846","Training web Test Suite","My Registration Test","co.com.training.web.tests.RegistrationLoginTests","co.com.training.web.tests.RegistrationLoginTests","failedPasswordRegistration","failedPasswordRegistration",""
"passed","Mon Sep 09 19:50:27 GMT 2024","Mon Sep 09 19:50:39 GMT 2024","11805","Training web Test Suite","My Registration Test","co.com.training.web.tests.RegistrationLoginTests","co.com.training.web.tests.RegistrationLoginTests","failedUserNameRegistration","failedUserNameRegistration",""
"passed","Mon Sep 09 19:49:36 GMT 2024","Mon Sep 09 19:49:48 GMT 2024","11768","Training web Test Suite","Filtering Options Test","co.com.training.web.tests.FilteringOptionsTests","co.com.training.web.tests.FilteringOptionsTests","filterBy","filterBy",""
"passed","Mon Sep 09 19:50:01 GMT 2024","Mon Sep 09 19:50:12 GMT 2024","10889","Training web Test Suite","Filtering Options Test","co.com.training.web.tests.FilteringOptionsTests","co.com.training.web.tests.FilteringOptionsTests","navigateToTableAndSearchBy","navigateToTableAndSearchBy",""
