"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","11733","failedPasswordRegistration","Training web Test Suite","2026-09-11","passed","2026-09-11","co.com.training.web.tests.RegistrationLoginTests","My Registration Test","co.com.training.web.tests.RegistrationLoginTests","failedPasswordRegistration"
"","10934","navigateToTableAndSearchBy","Training web Test Suite","2026-09-11","passed","2026-09-11","co.com.training.web.tests.FilteringOptionsTests","Filtering Options Test","co.com.training.web.tests.FilteringOptionsTests","navigateToTableAndSearchBy"
"Validate navigation to multiple options","13028","filterBy","Training web Test Suite","2026-09-11","passed","2026-09-11","co.com.training.web.tests.FilteringOptionsTests","Filtering Options Test","co.com.training.web.tests.FilteringOptionsTests","filterBy"
"Validate navigation to multiple options","13052","filterBy","Training web Test Suite","2026-09-11","passed","2026-09-11","co.com.training.web.tests.FilteringOptionsTests","Filtering Options Test","co.com.training.web.tests.FilteringOptionsTests","filterBy"
"","11813","failedUserNameRegistration","Training web Test Suite","2026-09-11","passed","2026-09-11","co.com.training.web.tests.RegistrationLoginTests","My Registration Test","co.com.training.web.tests.RegistrationLoginTests","failedUserNameRegistration"
