"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","11909","failedPasswordRegistration","Training web Test Suite","Wed Nov 27 15:51:52 GMT 2024","passed","Wed Nov 27 15:52:03 GMT 2024","co.com.training.web.tests.RegistrationLoginTests","My Registration Test","co.com.training.web.tests.RegistrationLoginTests","failedPasswordRegistration"
"","11541","filterBy","Training web Test Suite","Wed Nov 27 15:51:26 GMT 2024","passed","Wed Nov 27 15:51:38 GMT 2024","co.com.training.web.tests.FilteringOptionsTests","Filtering Options Test","co.com.training.web.tests.FilteringOptionsTests","filterBy"
"","10691","filterBy","Training web Test Suite","Wed Nov 27 15:51:13 GMT 2024","passed","Wed Nov 27 15:51:24 GMT 2024","co.com.training.web.tests.FilteringOptionsTests","Filtering Options Test","co.com.training.web.tests.FilteringOptionsTests","filterBy"
"","13010","failedUserNameRegistration","Training web Test Suite","Wed Nov 27 15:52:06 GMT 2024","passed","Wed Nov 27 15:52:19 GMT 2024","co.com.training.web.tests.RegistrationLoginTests","My Registration Test","co.com.training.web.tests.RegistrationLoginTests","failedUserNameRegistration"
"","11073","navigateToTableAndSearchBy","Training web Test Suite (0)","Wed Nov 27 15:52:21 GMT 2024","passed","Wed Nov 27 15:52:32 GMT 2024","co.com.training.web.tests.FilteringOptionsTests","My First Test","co.com.training.web.tests.FilteringOptionsTests","navigateToTableAndSearchBy"
"","10824","navigateToTableAndSearchBy","Training web Test Suite","Wed Nov 27 15:51:39 GMT 2024","passed","Wed Nov 27 15:51:50 GMT 2024","co.com.training.web.tests.FilteringOptionsTests","Filtering Options Test","co.com.training.web.tests.FilteringOptionsTests","navigateToTableAndSearchBy"
