"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Sep 06 16:22:19 GMT 2024","Fri Sep 06 16:22:32 GMT 2024","12385","Training web Test Suite","Filtering Options Test","co.com.training.web.tests.FilteringOptionsTests","co.com.training.web.tests.FilteringOptionsTests","filterBy","filterBy",""
"passed","Fri Sep 06 16:23:07 GMT 2024","Fri Sep 06 16:23:21 GMT 2024","13670","Training web Test Suite","My Registration Test","co.com.training.web.tests.RegistrationLoginTests","co.com.training.web.tests.RegistrationLoginTests","failedUserNameRegistration","failedUserNameRegistration",""
"passed","Fri Sep 06 16:22:49 GMT 2024","Fri Sep 06 16:23:04 GMT 2024","15258","Training web Test Suite","My Registration Test","co.com.training.web.tests.RegistrationLoginTests","co.com.training.web.tests.RegistrationLoginTests","failedPasswordRegistration","failedPasswordRegistration",""
"passed","Fri Sep 06 16:22:02 GMT 2024","Fri Sep 06 16:22:16 GMT 2024","13997","Training web Test Suite","Filtering Options Test","co.com.training.web.tests.FilteringOptionsTests","co.com.training.web.tests.FilteringOptionsTests","filterBy","filterBy",""
"passed","Fri Sep 06 16:22:34 GMT 2024","Fri Sep 06 16:22:47 GMT 2024","12695","Training web Test Suite","Filtering Options Test","co.com.training.web.tests.FilteringOptionsTests","co.com.training.web.tests.FilteringOptionsTests","navigateToTableAndSearchBy","navigateToTableAndSearchBy",""
