"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","11707","failedUserNameRegistration","Training web Test Suite","2026-09-11","passed","2026-09-11","co.com.training.web.tests.RegistrationLoginTests","My Registration Test","co.com.training.web.tests.RegistrationLoginTests","failedUserNameRegistration"
"Validate navigation to multiple options","13065","filterBy","Training web Test Suite","2026-09-11","passed","2026-09-11","co.com.training.web.tests.FilteringOptionsTests","Filtering Options Test","co.com.training.web.tests.FilteringOptionsTests","filterBy"
"Validate navigation to multiple options","11876","filterBy","Training web Test Suite","2026-09-11","passed","2026-09-11","co.com.training.web.tests.FilteringOptionsTests","Filtering Options Test","co.com.training.web.tests.FilteringOptionsTests","filterBy"
"","12091","failedPasswordRegistration","Training web Test Suite","2026-09-11","passed","2026-09-11","co.com.training.web.tests.RegistrationLoginTests","My Registration Test","co.com.training.web.tests.RegistrationLoginTests","failedPasswordRegistration"
"","10973","navigateToTableAndSearchBy","Training web Test Suite","2026-09-11","passed","2026-09-11","co.com.training.web.tests.FilteringOptionsTests","Filtering Options Test","co.com.training.web.tests.FilteringOptionsTests","navigateToTableAndSearchBy"
