"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Sep 06 22:39:34 GMT 2024","Fri Sep 06 22:39:46 GMT 2024","12556","Training web Test Suite","Filtering Options Test","co.com.training.web.tests.FilteringOptionsTests","co.com.training.web.tests.FilteringOptionsTests","filterBy","filterBy",""
"passed","Fri Sep 06 22:40:04 GMT 2024","Fri Sep 06 22:40:17 GMT 2024","12417","Training web Test Suite","Filtering Options Test","co.com.training.web.tests.FilteringOptionsTests","co.com.training.web.tests.FilteringOptionsTests","navigateToTableAndSearchBy","navigateToTableAndSearchBy",""
"passed","Fri Sep 06 22:39:49 GMT 2024","Fri Sep 06 22:40:02 GMT 2024","12592","Training web Test Suite","Filtering Options Test","co.com.training.web.tests.FilteringOptionsTests","co.com.training.web.tests.FilteringOptionsTests","filterBy","filterBy",""
"passed","Fri Sep 06 22:40:19 GMT 2024","Fri Sep 06 22:40:33 GMT 2024","13727","Training web Test Suite","My Registration Test","co.com.training.web.tests.RegistrationLoginTests","co.com.training.web.tests.RegistrationLoginTests","failedPasswordRegistration","failedPasswordRegistration",""
"passed","Fri Sep 06 22:40:36 GMT 2024","Fri Sep 06 22:40:49 GMT 2024","13529","Training web Test Suite","My Registration Test","co.com.training.web.tests.RegistrationLoginTests","co.com.training.web.tests.RegistrationLoginTests","failedUserNameRegistration","failedUserNameRegistration",""
