"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","12724","failedPasswordRegistration","Training web Test Suite","Tue Sep 02 16:14:11 UTC 2025","passed","Tue Sep 02 16:14:24 UTC 2025","co.com.training.web.tests.RegistrationLoginTests","My Registration Test","co.com.training.web.tests.RegistrationLoginTests","failedPasswordRegistration"
"","10888","navigateToTableAndSearchBy","Training web Test Suite","Tue Sep 02 16:13:59 UTC 2025","passed","Tue Sep 02 16:14:09 UTC 2025","co.com.training.web.tests.FilteringOptionsTests","Filtering Options Test","co.com.training.web.tests.FilteringOptionsTests","navigateToTableAndSearchBy"
"","12017","navigateToTableAndSearchBy","Training web Test Suite (0)","Tue Sep 02 16:14:39 UTC 2025","passed","Tue Sep 02 16:14:51 UTC 2025","co.com.training.web.tests.FilteringOptionsTests","My First Test","co.com.training.web.tests.FilteringOptionsTests","navigateToTableAndSearchBy"
"","11918","filterBy","Training web Test Suite","Tue Sep 02 16:13:33 UTC 2025","passed","Tue Sep 02 16:13:45 UTC 2025","co.com.training.web.tests.FilteringOptionsTests","Filtering Options Test","co.com.training.web.tests.FilteringOptionsTests","filterBy"
"","10751","filterBy","Training web Test Suite","Tue Sep 02 16:13:47 UTC 2025","passed","Tue Sep 02 16:13:57 UTC 2025","co.com.training.web.tests.FilteringOptionsTests","Filtering Options Test","co.com.training.web.tests.FilteringOptionsTests","filterBy"
"","11899","failedUserNameRegistration","Training web Test Suite","Tue Sep 02 16:14:26 UTC 2025","passed","Tue Sep 02 16:14:37 UTC 2025","co.com.training.web.tests.RegistrationLoginTests","My Registration Test","co.com.training.web.tests.RegistrationLoginTests","failedUserNameRegistration"
