"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Validate navigation to multiple options","11283","filterBy","Training web Test Suite","Tue Sep 02 21:36:29 UTC 2025","passed","Tue Sep 02 21:36:40 UTC 2025","co.com.training.web.tests.FilteringOptionsTests","Filtering Options Test","co.com.training.web.tests.FilteringOptionsTests","filterBy"
"","10643","navigateToTableAndSearchBy","Training web Test Suite","Tue Sep 02 21:36:40 UTC 2025","passed","Tue Sep 02 21:36:51 UTC 2025","co.com.training.web.tests.FilteringOptionsTests","Filtering Options Test","co.com.training.web.tests.FilteringOptionsTests","navigateToTableAndSearchBy"
"Validate navigation to multiple options","12961","filterBy","Training web Test Suite","Tue Sep 02 21:36:15 UTC 2025","passed","Tue Sep 02 21:36:28 UTC 2025","co.com.training.web.tests.FilteringOptionsTests","Filtering Options Test","co.com.training.web.tests.FilteringOptionsTests","filterBy"
"","11668","failedUserNameRegistration","Training web Test Suite","Tue Sep 02 21:37:03 UTC 2025","passed","Tue Sep 02 21:37:15 UTC 2025","co.com.training.web.tests.RegistrationLoginTests","My Registration Test","co.com.training.web.tests.RegistrationLoginTests","failedUserNameRegistration"
"","11403","navigateToTableAndSearchBy","Training web Test Suite (0)","Tue Sep 02 21:37:18 UTC 2025","passed","Tue Sep 02 21:37:29 UTC 2025","co.com.training.web.tests.FilteringOptionsTests","My First Test","co.com.training.web.tests.FilteringOptionsTests","navigateToTableAndSearchBy"
"","11722","failedPasswordRegistration","Training web Test Suite","Tue Sep 02 21:36:51 UTC 2025","passed","Tue Sep 02 21:37:03 UTC 2025","co.com.training.web.tests.RegistrationLoginTests","My Registration Test","co.com.training.web.tests.RegistrationLoginTests","failedPasswordRegistration"
