"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Sep 06 19:46:26 GMT 2024","Fri Sep 06 19:46:40 GMT 2024","13792","Training web Test Suite","My Registration Test","co.com.training.web.tests.RegistrationLoginTests","co.com.training.web.tests.RegistrationLoginTests","failedUserNameRegistration","failedUserNameRegistration",""
"passed","Fri Sep 06 19:45:40 GMT 2024","Fri Sep 06 19:45:53 GMT 2024","12913","Training web Test Suite","Filtering Options Test","co.com.training.web.tests.FilteringOptionsTests","co.com.training.web.tests.FilteringOptionsTests","filterBy","filterBy",""
"passed","Fri Sep 06 19:45:55 GMT 2024","Fri Sep 06 19:46:08 GMT 2024","12691","Training web Test Suite","Filtering Options Test","co.com.training.web.tests.FilteringOptionsTests","co.com.training.web.tests.FilteringOptionsTests","navigateToTableAndSearchBy","navigateToTableAndSearchBy",""
"passed","Fri Sep 06 19:46:09 GMT 2024","Fri Sep 06 19:46:24 GMT 2024","14313","Training web Test Suite","My Registration Test","co.com.training.web.tests.RegistrationLoginTests","co.com.training.web.tests.RegistrationLoginTests","failedPasswordRegistration","failedPasswordRegistration",""
"passed","Fri Sep 06 19:45:25 GMT 2024","Fri Sep 06 19:45:38 GMT 2024","12865","Training web Test Suite","Filtering Options Test","co.com.training.web.tests.FilteringOptionsTests","co.com.training.web.tests.FilteringOptionsTests","filterBy","filterBy",""
