"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Validate navigation to multiple options","12540","filterBy","Training web Test Suite","Tue Sep 02 22:04:44 UTC 2025","passed","Tue Sep 02 22:04:57 UTC 2025","co.com.training.web.tests.FilteringOptionsTests","Filtering Options Test","co.com.training.web.tests.FilteringOptionsTests","filterBy"
"","11368","navigateToTableAndSearchBy","Training web Test Suite (0)","Tue Sep 02 22:05:48 UTC 2025","passed","Tue Sep 02 22:05:59 UTC 2025","co.com.training.web.tests.FilteringOptionsTests","My First Test","co.com.training.web.tests.FilteringOptionsTests","navigateToTableAndSearchBy"
"Validate navigation to multiple options","12650","filterBy","Training web Test Suite","Tue Sep 02 22:04:57 UTC 2025","passed","Tue Sep 02 22:05:10 UTC 2025","co.com.training.web.tests.FilteringOptionsTests","Filtering Options Test","co.com.training.web.tests.FilteringOptionsTests","filterBy"
"","10519","navigateToTableAndSearchBy","Training web Test Suite","Tue Sep 02 22:05:10 UTC 2025","passed","Tue Sep 02 22:05:21 UTC 2025","co.com.training.web.tests.FilteringOptionsTests","Filtering Options Test","co.com.training.web.tests.FilteringOptionsTests","navigateToTableAndSearchBy"
"","11597","failedUserNameRegistration","Training web Test Suite","Tue Sep 02 22:05:33 UTC 2025","passed","Tue Sep 02 22:05:45 UTC 2025","co.com.training.web.tests.RegistrationLoginTests","My Registration Test","co.com.training.web.tests.RegistrationLoginTests","failedUserNameRegistration"
"","11775","failedPasswordRegistration","Training web Test Suite","Tue Sep 02 22:05:21 UTC 2025","passed","Tue Sep 02 22:05:33 UTC 2025","co.com.training.web.tests.RegistrationLoginTests","My Registration Test","co.com.training.web.tests.RegistrationLoginTests","failedPasswordRegistration"
