"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","10797","filterBy","Training web Test Suite","Wed Nov 27 17:00:28 GMT 2024","passed","Wed Nov 27 17:00:39 GMT 2024","co.com.training.web.tests.FilteringOptionsTests","Filtering Options Test","co.com.training.web.tests.FilteringOptionsTests","filterBy"
"","12013","failedPasswordRegistration","Training web Test Suite","Wed Nov 27 17:00:53 GMT 2024","passed","Wed Nov 27 17:01:05 GMT 2024","co.com.training.web.tests.RegistrationLoginTests","My Registration Test","co.com.training.web.tests.RegistrationLoginTests","failedPasswordRegistration"
"","11916","failedUserNameRegistration","Training web Test Suite","Wed Nov 27 17:01:06 GMT 2024","passed","Wed Nov 27 17:01:18 GMT 2024","co.com.training.web.tests.RegistrationLoginTests","My Registration Test","co.com.training.web.tests.RegistrationLoginTests","failedUserNameRegistration"
"","10821","navigateToTableAndSearchBy","Training web Test Suite (0)","Wed Nov 27 17:01:20 GMT 2024","passed","Wed Nov 27 17:01:31 GMT 2024","co.com.training.web.tests.FilteringOptionsTests","My First Test","co.com.training.web.tests.FilteringOptionsTests","navigateToTableAndSearchBy"
"","10849","navigateToTableAndSearchBy","Training web Test Suite","Wed Nov 27 17:00:40 GMT 2024","passed","Wed Nov 27 17:00:51 GMT 2024","co.com.training.web.tests.FilteringOptionsTests","Filtering Options Test","co.com.training.web.tests.FilteringOptionsTests","navigateToTableAndSearchBy"
"","10931","filterBy","Training web Test Suite","Wed Nov 27 17:00:14 GMT 2024","passed","Wed Nov 27 17:00:25 GMT 2024","co.com.training.web.tests.FilteringOptionsTests","Filtering Options Test","co.com.training.web.tests.FilteringOptionsTests","filterBy"
