"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Sep 09 22:06:05 GMT 2024","Mon Sep 09 22:06:18 GMT 2024","13325","Training web Test Suite","My Registration Test","co.com.training.web.tests.RegistrationLoginTests","co.com.training.web.tests.RegistrationLoginTests","failedUserNameRegistration","failedUserNameRegistration",""
"passed","Mon Sep 09 22:05:27 GMT 2024","Mon Sep 09 22:05:38 GMT 2024","10609","Training web Test Suite","Filtering Options Test","co.com.training.web.tests.FilteringOptionsTests","co.com.training.web.tests.FilteringOptionsTests","filterBy","filterBy",""
"passed","Mon Sep 09 22:05:39 GMT 2024","Mon Sep 09 22:05:50 GMT 2024","10799","Training web Test Suite","Filtering Options Test","co.com.training.web.tests.FilteringOptionsTests","co.com.training.web.tests.FilteringOptionsTests","navigateToTableAndSearchBy","navigateToTableAndSearchBy",""
"passed","Mon Sep 09 22:05:13 GMT 2024","Mon Sep 09 22:05:26 GMT 2024","13051","Training web Test Suite","Filtering Options Test","co.com.training.web.tests.FilteringOptionsTests","co.com.training.web.tests.FilteringOptionsTests","filterBy","filterBy",""
"passed","Mon Sep 09 22:05:51 GMT 2024","Mon Sep 09 22:06:03 GMT 2024","11918","Training web Test Suite","My Registration Test","co.com.training.web.tests.RegistrationLoginTests","co.com.training.web.tests.RegistrationLoginTests","failedPasswordRegistration","failedPasswordRegistration",""
