"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Sep 18 20:09:52 GMT 2024","Wed Sep 18 20:10:02 GMT 2024","10597","Training web Test Suite","Filtering Options Test","co.com.training.web.tests.FilteringOptionsTests","co.com.training.web.tests.FilteringOptionsTests","filterBy","filterBy",""
"passed","Wed Sep 18 20:10:04 GMT 2024","Wed Sep 18 20:10:15 GMT 2024","10831","Training web Test Suite","Filtering Options Test","co.com.training.web.tests.FilteringOptionsTests","co.com.training.web.tests.FilteringOptionsTests","navigateToTableAndSearchBy","navigateToTableAndSearchBy",""
"passed","Wed Sep 18 20:09:39 GMT 2024","Wed Sep 18 20:09:50 GMT 2024","10840","Training web Test Suite","Filtering Options Test","co.com.training.web.tests.FilteringOptionsTests","co.com.training.web.tests.FilteringOptionsTests","filterBy","filterBy",""
"passed","Wed Sep 18 20:10:16 GMT 2024","Wed Sep 18 20:10:28 GMT 2024","11902","Training web Test Suite","My Registration Test","co.com.training.web.tests.RegistrationLoginTests","co.com.training.web.tests.RegistrationLoginTests","failedPasswordRegistration","failedPasswordRegistration",""
"passed","Wed Sep 18 20:10:30 GMT 2024","Wed Sep 18 20:10:41 GMT 2024","11750","Training web Test Suite","My Registration Test","co.com.training.web.tests.RegistrationLoginTests","co.com.training.web.tests.RegistrationLoginTests","failedUserNameRegistration","failedUserNameRegistration",""
