"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","closeDriver","Training web Test Suite","Fri Apr 03 21:48:58 UTC 2026","broken","Fri Apr 03 21:48:58 UTC 2026","co.com.training.web.tests.RegistrationLoginTests","My Registration Test","co.com.training.web.tests.RegistrationLoginTests","closeDriver"
"","2","setDriverManager","Training web Test Suite","Fri Apr 03 21:48:58 UTC 2026","broken","Fri Apr 03 21:48:58 UTC 2026","co.com.training.web.tests.RegistrationLoginTests","My Registration Test","co.com.training.web.tests.RegistrationLoginTests","setDriverManager"
"","0","failedUserNameRegistration","Training web Test Suite","Fri Apr 03 21:48:58 UTC 2026","skipped","Fri Apr 03 21:48:58 UTC 2026","co.com.training.web.tests.RegistrationLoginTests","My Registration Test","co.com.training.web.tests.RegistrationLoginTests","failedUserNameRegistration"
"","1","openPage","Training web Test Suite","Fri Apr 03 21:48:58 UTC 2026","broken","Fri Apr 03 21:48:58 UTC 2026","co.com.training.web.tests.RegistrationLoginTests","My Registration Test","co.com.training.web.tests.RegistrationLoginTests","openPage"
"Validate navigation to multiple options","0","filterBy","Training web Test Suite","Fri Apr 03 21:48:58 UTC 2026","skipped","Fri Apr 03 21:48:58 UTC 2026","co.com.training.web.tests.FilteringOptionsTests","Filtering Options Test","co.com.training.web.tests.FilteringOptionsTests","filterBy"
"","1","failedPasswordRegistration","Training web Test Suite","Fri Apr 03 21:48:58 UTC 2026","skipped","Fri Apr 03 21:48:58 UTC 2026","co.com.training.web.tests.RegistrationLoginTests","My Registration Test","co.com.training.web.tests.RegistrationLoginTests","failedPasswordRegistration"
"","0","navigateToTableAndSearchBy","Training web Test Suite","Fri Apr 03 21:48:58 UTC 2026","skipped","Fri Apr 03 21:48:58 UTC 2026","co.com.training.web.tests.FilteringOptionsTests","Filtering Options Test","co.com.training.web.tests.FilteringOptionsTests","navigateToTableAndSearchBy"
"","0","openPage","Training web Test Suite","Fri Apr 03 21:48:58 UTC 2026","broken","Fri Apr 03 21:48:58 UTC 2026","co.com.training.web.tests.FilteringOptionsTests","Filtering Options Test","co.com.training.web.tests.FilteringOptionsTests","openPage"
