"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","10855","filterBy","Training web Test Suite","Tue Nov 26 22:21:57 GMT 2024","passed","Tue Nov 26 22:22:08 GMT 2024","co.com.training.web.tests.FilteringOptionsTests","Filtering Options Test","co.com.training.web.tests.FilteringOptionsTests","filterBy"
"","10808","navigateToTableAndSearchBy","Training web Test Suite (0)","Tue Nov 26 22:23:04 GMT 2024","passed","Tue Nov 26 22:23:15 GMT 2024","co.com.training.web.tests.FilteringOptionsTests","My First Test","co.com.training.web.tests.FilteringOptionsTests","navigateToTableAndSearchBy"
"","11890","failedUserNameRegistration","Training web Test Suite","Tue Nov 26 22:22:50 GMT 2024","passed","Tue Nov 26 22:23:02 GMT 2024","co.com.training.web.tests.RegistrationLoginTests","My Registration Test","co.com.training.web.tests.RegistrationLoginTests","failedUserNameRegistration"
"","11980","failedPasswordRegistration","Training web Test Suite","Tue Nov 26 22:22:37 GMT 2024","passed","Tue Nov 26 22:22:49 GMT 2024","co.com.training.web.tests.RegistrationLoginTests","My Registration Test","co.com.training.web.tests.RegistrationLoginTests","failedPasswordRegistration"
"","10786","navigateToTableAndSearchBy","Training web Test Suite","Tue Nov 26 22:22:24 GMT 2024","passed","Tue Nov 26 22:22:35 GMT 2024","co.com.training.web.tests.FilteringOptionsTests","Filtering Options Test","co.com.training.web.tests.FilteringOptionsTests","navigateToTableAndSearchBy"
"","11707","filterBy","Training web Test Suite","Tue Nov 26 22:22:11 GMT 2024","passed","Tue Nov 26 22:22:23 GMT 2024","co.com.training.web.tests.FilteringOptionsTests","Filtering Options Test","co.com.training.web.tests.FilteringOptionsTests","filterBy"
