"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Sep 05 21:54:47 GMT 2023","Tue Sep 05 21:54:58 GMT 2023","11270","Training web Test Suite","Filtering Options Test","co.com.training.web.tests.FilteringOptionsTests","co.com.training.web.tests.FilteringOptionsTests","filterBy","filterBy",""
"passed","Tue Sep 05 21:55:34 GMT 2023","Tue Sep 05 21:55:59 GMT 2023","24603","Training web Test Suite","My Registration Test","co.com.training.web.tests.RegistrationLoginTests","co.com.training.web.tests.RegistrationLoginTests","failedPasswordRegistration","failedPasswordRegistration",""
"passed","Tue Sep 05 21:55:02 GMT 2023","Tue Sep 05 21:55:13 GMT 2023","11033","Training web Test Suite","Filtering Options Test","co.com.training.web.tests.FilteringOptionsTests","co.com.training.web.tests.FilteringOptionsTests","filterBy","filterBy",""
"passed","Tue Sep 05 21:55:18 GMT 2023","Tue Sep 05 21:55:29 GMT 2023","11548","Training web Test Suite","Filtering Options Test","co.com.training.web.tests.FilteringOptionsTests","co.com.training.web.tests.FilteringOptionsTests","navigateToTableAndSearchBy","navigateToTableAndSearchBy",""
"passed","Tue Sep 05 21:56:03 GMT 2023","Tue Sep 05 21:56:15 GMT 2023","12345","Training web Test Suite","My Registration Test","co.com.training.web.tests.RegistrationLoginTests","co.com.training.web.tests.RegistrationLoginTests","failedUserNameRegistration","failedUserNameRegistration",""
