"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","10555","navigateToTableAndSearchBy","Training web Test Suite","Fri Sep 05 21:07:09 UTC 2025","passed","Fri Sep 05 21:07:20 UTC 2025","co.com.training.web.tests.FilteringOptionsTests","Filtering Options Test","co.com.training.web.tests.FilteringOptionsTests","navigateToTableAndSearchBy"
"","11680","failedUserNameRegistration","Training web Test Suite","Fri Sep 05 21:07:32 UTC 2025","passed","Fri Sep 05 21:07:44 UTC 2025","co.com.training.web.tests.RegistrationLoginTests","My Registration Test","co.com.training.web.tests.RegistrationLoginTests","failedUserNameRegistration"
"Validate navigation to multiple options","10822","filterBy","Training web Test Suite","Fri Sep 05 21:06:46 UTC 2025","passed","Fri Sep 05 21:06:57 UTC 2025","co.com.training.web.tests.FilteringOptionsTests","Filtering Options Test","co.com.training.web.tests.FilteringOptionsTests","filterBy"
"Validate navigation to multiple options","11108","filterBy","Training web Test Suite","Fri Sep 05 21:06:57 UTC 2025","passed","Fri Sep 05 21:07:09 UTC 2025","co.com.training.web.tests.FilteringOptionsTests","Filtering Options Test","co.com.training.web.tests.FilteringOptionsTests","filterBy"
"","11751","failedPasswordRegistration","Training web Test Suite","Fri Sep 05 21:07:20 UTC 2025","passed","Fri Sep 05 21:07:32 UTC 2025","co.com.training.web.tests.RegistrationLoginTests","My Registration Test","co.com.training.web.tests.RegistrationLoginTests","failedPasswordRegistration"
