"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","10907","navigateToTableAndSearchBy","Training web Test Suite","Wed Sep 10 19:42:49 UTC 2025","passed","Wed Sep 10 19:43:00 UTC 2025","co.com.training.web.tests.FilteringOptionsTests","Filtering Options Test","co.com.training.web.tests.FilteringOptionsTests","navigateToTableAndSearchBy"
"","11745","failedPasswordRegistration","Training web Test Suite","Wed Sep 10 19:43:00 UTC 2025","passed","Wed Sep 10 19:43:12 UTC 2025","co.com.training.web.tests.RegistrationLoginTests","My Registration Test","co.com.training.web.tests.RegistrationLoginTests","failedPasswordRegistration"
"Validate navigation to multiple options","12271","filterBy","Training web Test Suite","Wed Sep 10 19:42:24 UTC 2025","passed","Wed Sep 10 19:42:36 UTC 2025","co.com.training.web.tests.FilteringOptionsTests","Filtering Options Test","co.com.training.web.tests.FilteringOptionsTests","filterBy"
"Validate navigation to multiple options","11739","filterBy","Training web Test Suite","Wed Sep 10 19:42:37 UTC 2025","passed","Wed Sep 10 19:42:48 UTC 2025","co.com.training.web.tests.FilteringOptionsTests","Filtering Options Test","co.com.training.web.tests.FilteringOptionsTests","filterBy"
"","11551","failedUserNameRegistration","Training web Test Suite","Wed Sep 10 19:43:13 UTC 2025","passed","Wed Sep 10 19:43:24 UTC 2025","co.com.training.web.tests.RegistrationLoginTests","My Registration Test","co.com.training.web.tests.RegistrationLoginTests","failedUserNameRegistration"
