"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","10854","navigateToTableAndSearchBy","Training web Test Suite (0)","Tue Nov 26 20:55:01 GMT 2024","passed","Tue Nov 26 20:55:12 GMT 2024","co.com.training.web.tests.FilteringOptionsTests","My First Test","co.com.training.web.tests.FilteringOptionsTests","navigateToTableAndSearchBy"
"","11633","filterBy","Training web Test Suite","Tue Nov 26 20:54:07 GMT 2024","passed","Tue Nov 26 20:54:18 GMT 2024","co.com.training.web.tests.FilteringOptionsTests","Filtering Options Test","co.com.training.web.tests.FilteringOptionsTests","filterBy"
"","14324","failedPasswordRegistration","Training web Test Suite","Tue Nov 26 20:54:32 GMT 2024","passed","Tue Nov 26 20:54:46 GMT 2024","co.com.training.web.tests.RegistrationLoginTests","My Registration Test","co.com.training.web.tests.RegistrationLoginTests","failedPasswordRegistration"
"","11809","failedUserNameRegistration","Training web Test Suite","Tue Nov 26 20:54:48 GMT 2024","passed","Tue Nov 26 20:54:59 GMT 2024","co.com.training.web.tests.RegistrationLoginTests","My Registration Test","co.com.training.web.tests.RegistrationLoginTests","failedUserNameRegistration"
"","11915","filterBy","Training web Test Suite","Tue Nov 26 20:53:53 GMT 2024","passed","Tue Nov 26 20:54:05 GMT 2024","co.com.training.web.tests.FilteringOptionsTests","Filtering Options Test","co.com.training.web.tests.FilteringOptionsTests","filterBy"
"","10703","navigateToTableAndSearchBy","Training web Test Suite","Tue Nov 26 20:54:19 GMT 2024","passed","Tue Nov 26 20:54:30 GMT 2024","co.com.training.web.tests.FilteringOptionsTests","Filtering Options Test","co.com.training.web.tests.FilteringOptionsTests","navigateToTableAndSearchBy"
