"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","10639","filterBy","Training web Test Suite","Tue Nov 26 22:10:33 GMT 2024","passed","Tue Nov 26 22:10:44 GMT 2024","co.com.training.web.tests.FilteringOptionsTests","Filtering Options Test","co.com.training.web.tests.FilteringOptionsTests","filterBy"
"","11891","failedUserNameRegistration","Training web Test Suite","Tue Nov 26 22:11:13 GMT 2024","passed","Tue Nov 26 22:11:25 GMT 2024","co.com.training.web.tests.RegistrationLoginTests","My Registration Test","co.com.training.web.tests.RegistrationLoginTests","failedUserNameRegistration"
"","11787","filterBy","Training web Test Suite","Tue Nov 26 22:10:20 GMT 2024","passed","Tue Nov 26 22:10:32 GMT 2024","co.com.training.web.tests.FilteringOptionsTests","Filtering Options Test","co.com.training.web.tests.FilteringOptionsTests","filterBy"
"","11910","failedPasswordRegistration","Training web Test Suite","Tue Nov 26 22:10:59 GMT 2024","passed","Tue Nov 26 22:11:11 GMT 2024","co.com.training.web.tests.RegistrationLoginTests","My Registration Test","co.com.training.web.tests.RegistrationLoginTests","failedPasswordRegistration"
"","10793","navigateToTableAndSearchBy","Training web Test Suite","Tue Nov 26 22:10:46 GMT 2024","passed","Tue Nov 26 22:10:57 GMT 2024","co.com.training.web.tests.FilteringOptionsTests","Filtering Options Test","co.com.training.web.tests.FilteringOptionsTests","navigateToTableAndSearchBy"
"","11005","navigateToTableAndSearchBy","Training web Test Suite (0)","Tue Nov 26 22:11:26 GMT 2024","passed","Tue Nov 26 22:11:37 GMT 2024","co.com.training.web.tests.FilteringOptionsTests","My First Test","co.com.training.web.tests.FilteringOptionsTests","navigateToTableAndSearchBy"
