"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","11723","filterBy","Training web Test Suite","Wed Nov 27 16:13:49 GMT 2024","passed","Wed Nov 27 16:14:01 GMT 2024","co.com.training.web.tests.FilteringOptionsTests","Filtering Options Test","co.com.training.web.tests.FilteringOptionsTests","filterBy"
"","13457","failedUserNameRegistration","Training web Test Suite","Wed Nov 27 16:14:43 GMT 2024","passed","Wed Nov 27 16:14:57 GMT 2024","co.com.training.web.tests.RegistrationLoginTests","My Registration Test","co.com.training.web.tests.RegistrationLoginTests","failedUserNameRegistration"
"","10899","navigateToTableAndSearchBy","Training web Test Suite","Wed Nov 27 16:14:17 GMT 2024","passed","Wed Nov 27 16:14:28 GMT 2024","co.com.training.web.tests.FilteringOptionsTests","Filtering Options Test","co.com.training.web.tests.FilteringOptionsTests","navigateToTableAndSearchBy"
"","11817","failedPasswordRegistration","Training web Test Suite","Wed Nov 27 16:14:30 GMT 2024","passed","Wed Nov 27 16:14:42 GMT 2024","co.com.training.web.tests.RegistrationLoginTests","My Registration Test","co.com.training.web.tests.RegistrationLoginTests","failedPasswordRegistration"
"","12691","filterBy","Training web Test Suite","Wed Nov 27 16:14:03 GMT 2024","passed","Wed Nov 27 16:14:16 GMT 2024","co.com.training.web.tests.FilteringOptionsTests","Filtering Options Test","co.com.training.web.tests.FilteringOptionsTests","filterBy"
"","10777","navigateToTableAndSearchBy","Training web Test Suite (0)","Wed Nov 27 16:14:58 GMT 2024","passed","Wed Nov 27 16:15:09 GMT 2024","co.com.training.web.tests.FilteringOptionsTests","My First Test","co.com.training.web.tests.FilteringOptionsTests","navigateToTableAndSearchBy"
