"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","11784","failedPasswordRegistration","Training web Test Suite","Wed Apr 01 22:30:25 UTC 2026","passed","Wed Apr 01 22:30:37 UTC 2026","co.com.training.web.tests.RegistrationLoginTests","My Registration Test","co.com.training.web.tests.RegistrationLoginTests","failedPasswordRegistration"
"Validate navigation to multiple options","11837","filterBy","Training web Test Suite","Wed Apr 01 22:29:50 UTC 2026","passed","Wed Apr 01 22:30:01 UTC 2026","co.com.training.web.tests.FilteringOptionsTests","Filtering Options Test","co.com.training.web.tests.FilteringOptionsTests","filterBy"
"","10954","navigateToTableAndSearchBy","Training web Test Suite","Wed Apr 01 22:30:14 UTC 2026","passed","Wed Apr 01 22:30:25 UTC 2026","co.com.training.web.tests.FilteringOptionsTests","Filtering Options Test","co.com.training.web.tests.FilteringOptionsTests","navigateToTableAndSearchBy"
"Validate navigation to multiple options","11272","filterBy","Training web Test Suite","Wed Apr 01 22:30:02 UTC 2026","passed","Wed Apr 01 22:30:13 UTC 2026","co.com.training.web.tests.FilteringOptionsTests","Filtering Options Test","co.com.training.web.tests.FilteringOptionsTests","filterBy"
"","11701","failedUserNameRegistration","Training web Test Suite","Wed Apr 01 22:30:37 UTC 2026","passed","Wed Apr 01 22:30:49 UTC 2026","co.com.training.web.tests.RegistrationLoginTests","My Registration Test","co.com.training.web.tests.RegistrationLoginTests","failedUserNameRegistration"
