"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Mon Sep 09 20:33:41 GMT 2024","Mon Sep 09 20:33:41 GMT 2024","0","Training web Test Suite","My Registration Test","co.com.training.web.tests.RegistrationLoginTests","co.com.training.web.tests.RegistrationLoginTests","failedPasswordRegistration","failedPasswordRegistration",""
"skipped","Mon Sep 09 20:33:41 GMT 2024","Mon Sep 09 20:33:41 GMT 2024","0","Training web Test Suite","My Registration Test","co.com.training.web.tests.RegistrationLoginTests","co.com.training.web.tests.RegistrationLoginTests","failedUserNameRegistration","failedUserNameRegistration",""
"broken","Mon Sep 09 20:33:41 GMT 2024","Mon Sep 09 20:33:41 GMT 2024","0","Training web Test Suite","Filtering Options Test","co.com.training.web.tests.FilteringOptionsTests","co.com.training.web.tests.FilteringOptionsTests","beforeMethod","beforeMethod",""
"skipped","Mon Sep 09 20:33:41 GMT 2024","Mon Sep 09 20:33:41 GMT 2024","0","Training web Test Suite","Filtering Options Test","co.com.training.web.tests.FilteringOptionsTests","co.com.training.web.tests.FilteringOptionsTests","filterBy","filterBy",""
"skipped","Mon Sep 09 20:33:41 GMT 2024","Mon Sep 09 20:33:41 GMT 2024","0","Training web Test Suite","Filtering Options Test","co.com.training.web.tests.FilteringOptionsTests","co.com.training.web.tests.FilteringOptionsTests","navigateToTableAndSearchBy","navigateToTableAndSearchBy",""
"broken","Mon Sep 09 20:33:41 GMT 2024","Mon Sep 09 20:33:41 GMT 2024","1","Training web Test Suite","Filtering Options Test","co.com.training.web.tests.FilteringOptionsTests","co.com.training.web.tests.FilteringOptionsTests","afterMethod","afterMethod",""
"broken","Mon Sep 09 20:33:41 GMT 2024","Mon Sep 09 20:33:41 GMT 2024","0","Training web Test Suite","My Registration Test","co.com.training.web.tests.RegistrationLoginTests","co.com.training.web.tests.RegistrationLoginTests","beforeMethod","beforeMethod",""
"broken","Mon Sep 09 20:33:41 GMT 2024","Mon Sep 09 20:33:41 GMT 2024","0","Training web Test Suite","My Registration Test","co.com.training.web.tests.RegistrationLoginTests","co.com.training.web.tests.RegistrationLoginTests","afterMethod","afterMethod",""
