"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Sep 09 21:49:09 GMT 2024","Mon Sep 09 21:49:21 GMT 2024","11125","Training web Test Suite","Filtering Options Test","co.com.training.web.tests.FilteringOptionsTests","co.com.training.web.tests.FilteringOptionsTests","filterBy","filterBy",""
"passed","Mon Sep 09 21:49:23 GMT 2024","Mon Sep 09 21:49:35 GMT 2024","11980","Training web Test Suite","Filtering Options Test","co.com.training.web.tests.FilteringOptionsTests","co.com.training.web.tests.FilteringOptionsTests","filterBy","filterBy",""
"passed","Mon Sep 09 21:50:03 GMT 2024","Mon Sep 09 21:50:16 GMT 2024","12508","Training web Test Suite","My Registration Test","co.com.training.web.tests.RegistrationLoginTests","co.com.training.web.tests.RegistrationLoginTests","failedUserNameRegistration","failedUserNameRegistration",""
"passed","Mon Sep 09 21:49:49 GMT 2024","Mon Sep 09 21:50:01 GMT 2024","11943","Training web Test Suite","My Registration Test","co.com.training.web.tests.RegistrationLoginTests","co.com.training.web.tests.RegistrationLoginTests","failedPasswordRegistration","failedPasswordRegistration",""
"passed","Mon Sep 09 21:49:37 GMT 2024","Mon Sep 09 21:49:48 GMT 2024","10845","Training web Test Suite","Filtering Options Test","co.com.training.web.tests.FilteringOptionsTests","co.com.training.web.tests.FilteringOptionsTests","navigateToTableAndSearchBy","navigateToTableAndSearchBy",""
