"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","12956","failedPasswordRegistration","Training web Test Suite","Wed Sep 10 19:45:57 UTC 2025","passed","Wed Sep 10 19:46:10 UTC 2025","co.com.training.web.tests.RegistrationLoginTests","My Registration Test","co.com.training.web.tests.RegistrationLoginTests","failedPasswordRegistration"
"","11549","failedUserNameRegistration","Training web Test Suite","Wed Sep 10 19:46:11 UTC 2025","passed","Wed Sep 10 19:46:22 UTC 2025","co.com.training.web.tests.RegistrationLoginTests","My Registration Test","co.com.training.web.tests.RegistrationLoginTests","failedUserNameRegistration"
"","10905","navigateToTableAndSearchBy","Training web Test Suite","Wed Sep 10 19:45:45 UTC 2025","passed","Wed Sep 10 19:45:56 UTC 2025","co.com.training.web.tests.FilteringOptionsTests","Filtering Options Test","co.com.training.web.tests.FilteringOptionsTests","navigateToTableAndSearchBy"
"Validate navigation to multiple options","11864","filterBy","Training web Test Suite","Wed Sep 10 19:45:21 UTC 2025","passed","Wed Sep 10 19:45:33 UTC 2025","co.com.training.web.tests.FilteringOptionsTests","Filtering Options Test","co.com.training.web.tests.FilteringOptionsTests","filterBy"
"Validate navigation to multiple options","10664","filterBy","Training web Test Suite","Wed Sep 10 19:45:34 UTC 2025","passed","Wed Sep 10 19:45:45 UTC 2025","co.com.training.web.tests.FilteringOptionsTests","Filtering Options Test","co.com.training.web.tests.FilteringOptionsTests","filterBy"
